lname,fname,rollnumber,dob,gender,address
Radha,madhav,37,2-4-78,F,Goa
saran,sree,28,5-8-52,M,Jaipur
jeeva,jai,29,6-5-88,F,Delhi
Rag,jovan,45,4-1-61,M,kolkatta
Sudha,Ram,56,9-3-22,F,TamilNadu
Karan,Johar,40,6-4-92,M,karanataka
vaiga,lola,33,1-4-98,F,Maharastra
Radha,madhav,37,2-4-78,F,Goa
saran,sree,28,5-8-52,M,Jaipur
jeeva,jai,29,6-5-88,F,Delhi
Rag,jovan,45,4-1-61,M,kolkatta
Sudha,Ram,56,9-3-22,F,TamilNadu
Karan,Johar,40,6-4-92,M,karanataka
vaiga,lola,33,1-4-98,F,Maharastra
Radha,madhav,37,2-4-78,F,Goa
saran,sree,28,5-8-52,M,Jaipur
jeeva,jai,29,6-5-88,F,Delhi
Rag,jovan,45,4-1-61,M,kolkatta
Sudha,Ram,56,9-3-22,F,TamilNadu
Karan,Johar,40,6-4-92,M,karanataka
vaiga,lola,33,1-4-98,F,Maharastra
